1.0	1.42	2.65	3.82	2.73	1.75	1.73	1.64	1.37	1.08	1.19	1.23
1.0	1.01	1.1	1.49	1.94	4.6	8.28	10.84	8.57	8.05	6.75	5.62
1.0	1.42	4.28	8.49	7.67	20.4	15.25	13.54	6.5	2.22	3.37	4.6
1.0	2.67	2.41	3.75	6.18	38.8	86.92	25.58	14.81	6.73	2.72	2.42
1.0	0.97	1.17	1.38	1.55	3.46	3.77	3.72	2.47	1.77	1.71	1.52
1.0	0.93	0.85	0.85	0.85	0.64	0.52	0.46	0.48	0.77	0.78	0.85
1.0	1.86	4.0	7.05	4.74	3.58	2.92	2.77	1.66	1.58	1.5	1.35
1.0	1.05	1.33	1.29	1.17	1.16	0.98	0.92	0.74	0.63	0.6	0.55
1.0	0.96	0.98	1.01	1.08	1.39	1.49	1.79	2.05	2.01	2.09	2.13
1.0	1.14	1.3	1.21	1.12	1.08	1.23	1.34	1.57	2.62	3.96	5.86
